[25-Mar-2026 12:58:13 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 200
[25-Mar-2026 12:58:14 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 200
[25-Mar-2026 12:58:14 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 210
[25-Mar-2026 12:58:15 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 211
[25-Mar-2026 12:58:15 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 212
[25-Mar-2026 12:58:15 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 213
[25-Mar-2026 12:58:16 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 214
[25-Mar-2026 12:58:16 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 215
[25-Mar-2026 12:58:16 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 216
[27-Mar-2026 08:54:26 Asia/Manila] PHP Deprecated:  Method ReflectionMethod::setAccessible() is deprecated since 8.5, as it has no effect since PHP 8.1 in Standard input code on line 6
